,B0,B1,B2,B3
2025-01-07,0.0377509251048489,0.0039623279743091,0.0056889742279499,0.0056889742279499
2025-01-08,0.0573210093716668,0.0044577300009296,0.00477388193296,0.0056666447523627
2025-01-09,0.0445476065482845,0.0048546136368965,0.0031607263628494,0.0027875255744556
2025-01-10,0.0389901191236662,0.0036381719570431,0.0041216744509278,0.003836892345675
2025-01-11,0.0138716638187134,0.0081820245917082,0.0070841819155994,0.0066421723678037
2025-01-12,0.0143989865934657,0.0076016591355706,0.0058973546983579,0.0069838574807912
2025-01-13,0.0426201817864398,0.0056341637894897,0.0031017982698043,0.002632133518194
2025-01-14,0.0319886117610204,0.0053310410745893,0.006694431048806,0.0074685045651168
2025-01-15,0.0273049812944199,0.0047250379677277,0.0092240767635552,0.0075583096164576
2025-01-16,0.039338067231871,0.0059454444213983,0.0085025285930812,0.0085025285930812
2025-01-17,0.0038563571439144,0.0037647416820526,0.0060294480334712,0.0060294480334712
2025-01-18,0.0022070022737173,0.0045716342953771,0.0062056957530827,0.0062056957530827
2025-01-19,0.0025769980032435,0.0033263927506142,0.0049770653514149,0.0049770653514149
2025-01-20,0.0035886318373399,0.0037971743128786,0.0062056204313745,0.0050020969701345
2025-01-21,0.1121918499588005,0.0017501208621213,0.0039325697465523,0.0047662787856897
2025-01-22,0.0136932100792126,0.0041777759157173,0.0085427380676114,0.0085427380676114
2025-01-23,0.0354474624700611,0.0055301865085089,0.0065790043291395,0.0084005728509906
2025-01-24,0.0245727369507267,0.0067965863221945,0.0082899952448408,0.0098577782700966
2025-01-25,0.0137104941844529,0.0046101374443209,0.0075043183308334,0.0098363506252478
2025-01-26,0.007647578527674,0.0097373530412808,0.0104851706561932,0.0099356519953076
2025-01-27,0.065546450759244,0.0047027361973514,0.0030158218690526,0.0026322549061286
2025-01-28,0.0232876552307134,0.0054137603107072,0.0052248747819716,0.0043073410148551
2025-01-29,0.018289719639686,0.0047616166645263,0.0032560389238238,0.0029494166719627
Days best,18.0,0.0,5.0,0.0
Median,0.0245727369507267,0.0047250379677277,0.0060294480334712,0.0060294480334712
Mean,0.029336882595355777,0.005098801341622313,0.006021651729706652,0.0061395753190383075
Std Dev,0.025268409874016268,0.0017190343523005045,0.0020972944524868353,0.002362271290087224
