,B0,B1,B2,B3
2025-01-07,0.01489525,0.0133108637983717,0.0038855422425082,0.0038855422425082
2025-01-08,0.0063379999999998,0.0104803215558652,0.007415813363764,0.0079621185354243
2025-01-09,0.0050260000000001,0.0096269482833903,0.0093304224250833,0.0106567275967446
2025-01-10,0.006219,0.0061656431117282,0.0072398297479651,0.0110277616471524
2025-01-11,0.00781825,0.0023605422425079,0.002450542242508,0.002400542242508
2025-01-12,0.00681225,0.0031284237070846,0.0031284237070846,0.0031284237070846
2025-01-13,0.0048832499999999,0.0056763556062705,0.0070076607779316,0.0065608133637621
2025-01-14,0.0066482499999999,0.0053399999999999,0.004852660777932,0.0031445081921005
2025-01-15,0.013163,0.0090697099305394,0.0013368474141696,0.0010899999999999
2025-01-16,0.0081615,0.0081910844850152,0.0011355422425083,0.0011355422425083
2025-01-17,0.0070312499999999,0.0119450504346111,0.0009099999999999,0.0009099999999999
2025-01-18,0.0045895000000002,0.0076418978487778,0.0008052711212542,0.0008052711212542
2025-01-19,0.0234219999999997,0.0106518978487782,0.0013184237070847,0.0013184237070847
2025-01-20,0.01050475,0.011519237070848,0.0054973896566788,0.005350813363763
2025-01-21,0.01635575,0.0215421185354248,0.0097537452629526,0.0070847793133571
2025-01-22,0.02646025,0.0064049999999999,0.0007699999999999,0.0007699999999999
2025-01-23,0.0081255,0.005665271121254,0.00870320302044,0.00055
2025-01-24,0.0056194999999998,0.0039592370708462,0.0047832030204393,0.003999237070846
2025-01-25,0.0077764999999999,0.0083286948283388,0.0029642370708506,0.0018752711212542
2025-01-26,0.0176385,0.0015834237070846,0.0015136948283391,0.0030918474141691
2025-01-27,0.0041770000000001,0.0071236948283401,0.0120264060408817,0.0120264060408817
2025-01-28,0.007962,0.0065076607779314,0.0037086948283373,0.0055776607779314
2025-01-29,0.0102965,0.0049655422425091,0.006065542242509,0.0049955422425091
Days best,4.0,5.0,8.0,6.0
Median,0.00781825,0.0071236948283401,0.0038855422425082,0.0031445081921005
Mean,0.009996684782608666,0.007877766045022477,0.004634917206140079,0.004319444867080138
Std Dev,0.006015513941344297,0.004293342055505599,0.003310029584387957,0.0034916158985417254
