Day,Sharpe,Sortino,Max DD,P&L-to-MAP,Final PnL,Mean |q|,Near Cap Fraction,sigma,A,kappa,as_gamma
2025-01-01,0.0463673776606859,0.0142668947895338,0.004517,0.4350805862245937,0.3331424999999952,0.766200275981872,0.0015630800697659,0.0006504108239772,256.4793530913921,39821.83135669737,0.9818915956983676
2025-01-02,0.0659136641896428,0.0254810206208429,0.00338875,1.028162842003648,0.6152839999999998,0.5989433293670674,0.0015107036990647,0.0010913797535573,279.4378871333214,21646.41770726645,0.978503796045226
2025-01-03,0.0622099401637816,0.0255777039021227,0.0069932500000001,1.6745712401318606,1.0902729999999952,0.651921667527496,0.0023249478672253,0.0014900290625022,248.1026078393304,11016.985412501845,0.9846422598402532
2025-01-04,0.0745764084676843,0.0350113526255522,0.0114362500000001,1.8915370875963649,1.736144499999995,0.9188300550049918,0.0036325008704947,0.0014334390969949,196.8179760246203,6183.921907526163,0.993729875827824
2025-01-05,0.0554729930668799,0.0199297565381916,0.00842625,0.7294605833318247,0.6827487500000011,0.9391985282531714,0.0055581663427754,0.0009722387297484,173.30242435428005,13891.853982617004,0.9469264706422504
2025-01-06,0.0660810160281556,0.0276297413051273,0.0048257499999998,1.0567784779473848,0.8200290000000041,0.7762653805047821,0.0023516561813676,0.0011019774287958,220.75519456624863,14043.23746842458,0.9776083794287354
2025-01-07,0.0861566649379666,0.0544242615805809,0.0087609999999999,3.304594407323557,2.7680585000000013,0.8386989212202371,0.0031447999156389,0.0019514786611716,237.94367678057603,4553.208540196336,0.9123300374794964
2025-01-08,0.0934761685655059,0.059568255939778,0.0056772500000001,2.8980195496283185,2.210941499999993,0.763094807744505,0.0028157022550204,0.0016505407606952,332.64509348471296,7811.631983372168,0.8157736129809599
2025-01-09,0.0863552099077081,0.0500977672242787,0.0042789999999999,2.3248373517268903,1.5638942499999964,0.6731223924261911,0.0024073998574289,0.001447192908244,356.3850815747918,11253.439257255364,0.9251311810832082
2025-01-10,0.0786707562611634,0.0393567159322528,0.0049232499999999,1.7847849457470932,1.1570855000000049,0.6484525287589318,0.0022240029392388,0.0014163964648671,330.9343194071215,14017.428151232649,0.7912765449481787
2025-01-11,0.0422850961637424,0.0130369599912242,0.0070532500000001,0.494780975806082,0.4187695000000035,0.8468545554381329,0.0023688443847212,0.0007409156075977,221.7497621612848,27727.517871768545,0.9991414333748256
2025-01-12,0.0446079766423018,0.0136892579021109,0.00649175,0.4419122931192811,0.3811237500000041,0.8632664859981933,0.0026086442915711,0.0007067127784725,205.19928874782656,28612.008684505567,0.980145747509572
2025-01-13,0.0838635479740503,0.0450658386623894,0.0050207499999997,2.073218789657278,1.4114435000000136,0.6810454754439432,0.0031577560943485,0.001465735240767,415.2683916211949,14510.988868632783,0.6885341557843578
2025-01-14,0.0703990732159187,0.0304453555846106,0.005468,1.4520349371313377,0.8820234999999975,0.6079701052544703,0.0017977855553005,0.0012084071170963,312.2297316082933,16878.269259646226,0.9886851178386928
2025-01-15,0.0685108099361369,0.0292947604506816,0.0110884999999998,1.885072786496077,1.2848952499999928,0.6822691835219015,0.0020974077686408,0.0014945121137517,276.43323565894093,10728.7078137783,0.9025133588672588
2025-01-16,0.0860782903330696,0.0502421735857357,0.0058764999999998,2.337414022085889,1.836354750000006,0.7862785285684952,0.0024604345544561,0.0015040973201945,265.61221811295206,7538.696265928243,0.9999571482629253
2025-01-17,0.018585203597347,0.0059231210531613,0.0095462499999999,0.502710466731829,0.2420085000000006,0.4820662856829065,0.001844846672549,0.0019256913084324,205.0386210028491,35000.0,0.2770067211627456
2025-01-18,0.0198392335477455,0.0065226408108088,0.00782325,0.6449963914462717,0.2761492500000003,0.4282637117443088,0.0012953414744459,0.0023541606166022,247.00619722389212,35000.0,0.2135079986380906
2025-01-19,0.0097540328046715,0.0038385539672605,0.0463315,0.7635706992270068,0.3643545000000006,0.4769533937918499,0.0015148441318698,0.0030202606845088,311.5735980637419,35000.0,0.1175697229132619
2025-01-20,0.0183389918003998,0.0083072651681669,0.0238157500000001,0.9278024222621292,0.5288627499999992,0.5704037163501683,0.0028638799871254,0.0036460702943263,400.25996190526746,35000.0,0.0634127340845869
2025-01-21,0.1272472471566209,0.1182242720366822,0.0170954999999994,8.629809214384474,10.04880025000002,1.1649986970983617,0.0067304597179365,0.0035506610316494,391.0193465562476,2226.5532560160536,0.2878088653006798
2025-01-22,0.042803777125454,0.013322988043207,0.0230932500000001,1.3269255389895986,0.8586805,0.6475109581619838,0.0018494053042429,0.0014043310420231,250.9519695364922,14352.316439211249,0.8223339057609306
2025-01-23,0.0729621623534343,0.0362861707264352,0.0070059999999999,2.060092437474624,1.399720249999995,0.6796975665180919,0.0025905317554547,0.0015161241510632,308.04915070682995,10828.50876799403,0.8759076538628868
2025-01-24,0.0622044000164858,0.0234250413879686,0.0048779999999997,1.0442968790710871,0.696112000000003,0.6667357036512664,0.0021668372480418,0.0010292187422963,297.90709119353863,20932.196753499,0.9929322416605671
