,B0,B1,B2,B3
2025-01-07,0.0782505922316092,0.0139565624631202,0.0348143408347312,0.0348143408347312
2025-01-08,0.092814143752527,0.0094212709697191,0.0111814080789237,0.0177440603730934
2025-01-09,0.0855868283543367,0.0090569734998237,0.0058605500364012,0.005126546604399
2025-01-10,0.0758174362781307,0.00874179078209,0.008370746135243,0.0079569547319201
2025-01-11,0.0408147662526423,0.0199858595697402,0.0176296950417726,0.0165396077679444
2025-01-12,0.0438724102081967,0.0194249143453555,0.0141181981191256,0.0167650767841639
2025-01-13,0.0841030589842061,0.0114389041148059,0.0058579705079603,0.0049113659288389
2025-01-14,0.0689597124534479,0.0134662816273598,0.0185136228174438,0.0230176159219175
2025-01-15,0.0663262561128556,0.0132871401874861,0.0315532169943428,0.0377954682181582
2025-01-16,0.0829868240698488,0.0182942597888211,0.0379539285657977,0.0379539285657977
2025-01-17,0.0165516315897924,0.0147601953243982,0.0345166247617791,0.0345166247617791
2025-01-18,0.0148329124948585,0.0151597035129742,0.0332683915614935,0.0332683915614935
2025-01-19,0.0063997156819675,0.0077614770019192,0.0306019995108302,0.0306019995108302
2025-01-20,0.0122135096267616,0.0087478643669324,0.0175573990533146,0.0197086585829921
2025-01-21,0.1274485646952879,0.0045144598090305,0.009645257432942,0.013435378496962
2025-01-22,0.0406009384822489,0.0145449915063338,0.0377927724889237,0.0377927724889237
2025-01-23,0.0701522143857257,0.012886877815304,0.0183108381559577,0.0367606889276763
2025-01-24,0.0608705830893066,0.0179003079818463,0.023932236971162,0.0308663794301566
2025-01-25,0.0422084254471142,0.0166772637356393,0.020710550423334,0.035071495991693
2025-01-26,0.0257182399375136,0.0260808723152854,0.0299415723301908,0.0387022854069879
2025-01-27,0.0976722486018788,0.0083330575494054,0.0050483314358089,0.0043430626825439
2025-01-28,0.054513165150535,0.0132434013314199,0.0113260841199089,0.0096779469834668
2025-01-29,0.0487476086401003,0.0114272123190957,0.0075461368401037,0.00685726640914
Days best,18.0,0.0,3.0,2.0
Median,0.0608705830893066,0.0132871401874861,0.0183108381559577,0.0230176159219175
Mean,0.058150512457430074,0.013439636605126344,0.020263124879021342,0.02322730073763519
Std Dev,0.03109764668255962,0.004882491177543668,0.011340879879885933,0.012807622085293567
