Day,Sharpe,Sortino,Max DD,P&L-to-MAP,Final PnL,Mean |q|,sigma
2025-01-01,0.013623033965985623,0.004779822577554488,0.11547359999999117,0.09394778609589682,1.3160187000000574,14.088083354930902,2.05677961859484e-05
2025-01-02,0.01907328460931635,0.007624448897615687,0.07056539999999509,0.184507779741433,1.3347486000000146,7.308736431195723,3.451245813434321e-05
2025-01-03,0.01382393220128208,0.005617354609650548,0.11352599999999385,0.2583682050601188,1.3558862000000114,5.284453317499224,4.711885617352501e-05
2025-01-04,0.014389794484847269,0.005410398792173623,0.1436084000000011,0.2523824345776192,1.3421668000000049,5.397244867935341,4.532932433639076e-05
2025-01-05,0.01711291149108334,0.006000000510067203,0.08446469999999139,0.15914847662745024,1.349402200000056,8.551722585121645,3.074488815434159e-05
2025-01-06,0.01716304838776461,0.006617272133016491,0.08043709999999024,0.1857270741160608,1.3517249000000726,7.315530222063887,3.484758605090801e-05
2025-01-07,0.016297149544822007,0.007164592198226733,0.07824589999999723,0.3578704547151839,1.3391548999999912,3.7647804770211395,6.171117374518377e-05
2025-01-08,0.016603912391889103,0.008036150374451717,0.07842410000000212,0.30354287396084273,1.3358363999999805,4.435598261417814,5.2194681747437876e-05
2025-01-09,0.015450909055186092,0.0076079175795453965,0.08408010000000074,0.2564333953686378,1.3321542999999898,5.254605501957573,4.5764257841751054e-05
2025-01-10,0.018446694509863748,0.00860761873739526,0.06472289999999008,0.2557030171928623,1.3387119000000194,5.269005346374095,4.479038877613682e-05
2025-01-11,0.01267043697591821,0.0044678634760536625,0.188553299999993,0.11056921361114347,1.3329816000000596,12.164061112598056,2.3429808739764873e-05
2025-01-12,0.014207794972444425,0.004925807501453211,0.11170969999998898,0.105297220078288,1.3267095000001163,12.715992940031965,2.23482203151926e-05
2025-01-13,0.016369392599851137,0.008220233427191154,0.06795819999999325,0.25918065110192,1.348195600000017,5.2312655049324315,4.6350618075990225e-05
2025-01-14,0.015951704835294084,0.006921141646440993,0.08253319999999667,0.2177440294514003,1.3840593999999948,6.403384546343173,3.8213188307823566e-05
2025-01-15,0.01352009082073631,0.005656336214158566,0.14516859999999762,0.2555564808485776,1.3201257999999894,5.22439525040937,4.726062270168217e-05
2025-01-16,0.016367600819815736,0.007293019991176042,0.09634689999999774,0.26160348981477033,1.3410604000000257,5.182526459352098,4.7563733543703805e-05
2025-01-17,0.017881186380636294,0.007880177335473021,0.06505940000000403,0.36583881352029674,1.349739199999984,3.717255544087493,6.0895706050364115e-05
2025-01-18,0.017643973451680672,0.008422315404590585,0.07589550000000274,0.4523122135076795,1.3178344000000053,2.9294023940901552,7.444509526329638e-05
2025-01-19,0.008853901299616133,0.004502804955826558,0.2218470999999992,0.6009009480510026,1.3261009000000028,2.2217962206308757,9.550902890507118e-05
2025-01-20,0.01741965757258994,0.009962707001407013,0.09155170000000082,0.7315414276149013,1.3137891000000037,1.8024557438531184,0.00011529886639151766
2025-01-21,0.02023468815585262,0.010648611626642927,0.048168899999996545,0.7161585832105741,1.299843300000008,1.822371092326794,0.00011228176059215601
2025-01-22,0.010068207346693059,0.0036354480942751245,0.27542660000000907,0.2443298815143991,1.3436946999999742,5.5326734221477984,4.440884681670801e-05
2025-01-23,0.014095196032394085,0.006404102652749913,0.11973870000000131,0.27016733521594,1.3370524999999955,4.990874296864355,4.794231128669171e-05
2025-01-24,0.015061059932681082,0.006059752457228333,0.08465509999998519,0.1719741144593195,1.3822172000000676,8.112205623368698,3.254675436190291e-05
2025-01-25,0.015324909597071718,0.005222864253342423,0.10689989999998736,0.14897101778005128,1.3654125000000374,9.263599219765588,2.9213470435109077e-05
2025-01-26,0.013351058413358421,0.004380471421022574,0.18571079999999465,0.11163712884299408,1.3959267000000921,12.58508885143339,2.2501801892605635e-05
2025-01-27,0.01924696896878135,0.010678572758005732,0.06505379999999733,0.3257697663235552,1.3506741999999952,4.175660709078032,5.5282731825316496e-05
2025-01-28,0.01254203367938554,0.005191361541024789,0.14878430000000833,0.1817060094471225,1.3738772999999933,7.606629224938608,3.53770828120419e-05
2025-01-29,0.012224564242567204,0.005148546722825921,0.16892950000000057,0.19971647471317092,1.3652714999999993,6.910295790656834,3.766319009132451e-05
